_exported_at;_system_object_id;_id;_last_modified;oeu_nc_name#de-DE;oeu_nc_name#en-US;oeu_isler_name#de-DE;oeu_isler_name#en-US
"2023-05-25T10:42:53+02:00";"111674";"17030";"2023-03-28T12:41:20Z";"Fabrikationshallen Heinz Messmer";"";"Fabrikationshallen Heinz Messmer";"Manufacturing Halls Heinz Messmer"
"2023-05-25T10:42:53+02:00";"111675";"17031";"2023-05-03T08:31:52Z";"HIB : Thyon 2000 : Konferenzsaal und Tennishalle";"";"HIB : Thyon 2000 : Konferenzsaal und Tennishalle";"HIB : Thyon 2000 : Conference Room and Tennis Hall"
"2023-05-25T10:42:53+02:00";"111676";"17032";"2023-04-27T15:58:31Z";"Diverse Anfrage mit wenig Material";"";"Diverse Anfrage mit wenig Material";"Various Request With Little Material"
"2023-05-25T10:42:53+02:00";"111677";"17033";"2023-03-28T12:41:22Z";"Nord-Süd-Garage Felber & Engler : Ausstellungshalle";"";"Nord-Süd-Garage Felber & Engler : Ausstellungshalle";"North-South Garage Felber & Engler : Exhibition Hall"
"2023-05-25T10:42:53+02:00";"111678";"17034";"2023-03-28T14:39:23Z";"Deutsches Rotes Kreuz : Garage und Magazin (Einfamilienhaus Balz : Anbau)";"";"Deutsches Rotes Kreuz : Garage und Magazin (Einfamilienhaus Balz : Anbau)";"German Red Cross : Garage and Warehouse (Single-Family House Balz : Extension)"
"2023-05-25T10:42:53+02:00";"111679";"17035";"2023-03-28T12:41:24Z";"Hoch- und Tiefbau-Unternehmung Johann Hackl : Einstellhalle";"";"Hoch- und Tiefbau-Unternehmung Johann Hackl : Einstellhalle";"Building and Civil Engineering Company Johann Hackl : Parking Garage"
"2023-05-25T10:42:53+02:00";"111680";"17036";"2023-05-13T10:53:34Z";"Müller und Laubscher";"";"Müller und Laubscher";"Müller and Laubscher"
"2023-05-25T10:42:53+02:00";"111681";"17037";"2023-03-14T10:31:32Z";"Härterei Gerster AG";"";"Härterei Gerster AG";"Hardening Company Gerster AG"
"2023-05-25T10:42:53+02:00";"111682";"17038";"2023-03-28T12:41:25Z";"Ingenieur E. Hauptmann, Essen";"";"Ingenieur E. Hauptmann, Essen";"Engineer E. Hauptmann, Essen"
"2023-05-25T10:42:53+02:00";"111683";"17039";"2023-03-28T12:41:26Z";"Chemisch Technische Produkte Blaser & Co. AG (heute Blaser Swisslube AG) („Blaha“)";"";"Chemisch Technische Produkte Blaser & Co. AG (heute Blaser Swisslube AG) („Blaha“)";"Chemical Technical Products Blaser & Co. AG (Today Blaser Swisslube AG) (""Blaha"")"
"2023-05-25T10:42:53+02:00";"111684";"17040";"2021-07-27T07:58:57Z";"Weberei Ganahl & Co. : Überdeckung der Schalen mit Holzdach";"";"Weberei Ganahl & Co. Frastanz";"Weaving Mill Ganahl & Co. Frastanz"
"2023-05-25T10:42:53+02:00";"111685";"17041";"2023-03-28T12:41:27Z";"Schuhgrosshandel JLCO J. Lüthi + Co. AG : Lagerhalle Buchmatt (Halle Expo 64 Lausanne)";"";"Schuhgrosshandel JLCO J. Lüthi + Co. AG : Lagerhalle Buchmatt (Halle Expo 64 Lausanne)";"Shoe Wholesale JLCO J. Lüthi + Co.AG : Buchmatt Warehouse (Hall Expo 64 Lausanne)"
