"_system_object_id","_id","T_Chronologie","T_ChronologieDatMin","T_ChronologieDatMax","T_ChronologieTimespanFrom","T_ChronologieTimespanTo"
"111865","17221","Vorprojekt 1995","01.01.1995","31.12.1995","1995","1995"
"111866","17222","Vorprojekt 1970","01.01.1970","31.12.1970","1970","1970"
"111867","17223","Anfrage 1981","01.01.1981","31.12.1981","1981","1981"
"111869","17225","Projekt 1965","01.01.1965","31.12.1965","1965","1965"
"111871","17227","Vorprojekt 1969; Vorprojekt 1977 (Wiederaufnahme)","01.01.1969","31.12.1977","1969","1977"
"111873","17229","Anfrage 1971","01.01.1971","31.12.1971","1971","1971"
"111874","17230","Anfrage 1975","01.01.1975","31.12.1975","1975","1975"
"111875","17231","Vorprojekt 1969","01.01.1969","31.12.1969","1969","1969"
"111876","17232","Vorprojekt 1967","01.01.1967","31.12.1967","1967","1967"
"111877","17233","Anfrage 1971","01.01.1971","31.12.1971","1971","1971"
"111880","17236","Anfrage 2001/2003","01.01.2001","31.12.2003","2001","2003"
"111881","17237","Anfrage 1969","01.01.1969","31.12.1969","1969","1969"
"111882","17238","Anfrage 1996","01.01.1996","31.12.1996","1996","1996"
"111883","17239","Vorprojekt 1970","01.01.1970","31.12.1970","1970","1970"
"111884","17240","Vorprojekt 1969","01.01.1969","31.12.1969","1969","1969"
"111885","17241","Vorprojekt 2000","01.01.2000","31.12.2000","2000","2000"
"111886","17242","Vorprojekt 1989","01.01.1989","31.12.1989","1989","1989"
"111887","17243","Vorprojekt 1969","01.01.1969","31.12.1969","1969","1969"
"111888","17244","Anfrage 1967","01.01.1967","31.12.1967","1967","1967"
"111889","17245","Vorprojekt 1963","01.01.1963","31.12.1963","1963","1963"
"111890","17246","Anfrage 1979","01.01.1979","31.12.1979","1979","1979"
"111891","17247","Vorprojekt 1977","01.01.1977","31.12.1977","1977","1977"
"111942","17298","Vorprojekt 1983","01.01.1983","31.12.1983","1983","1983"
"111943","17299","Vorprojekt 1967/1969","01.01.1967","31.12.1969","1967","1969"
"111944","17300","Vorprojekt 1955","01.01.1955","31.12.1955","1955","1955"
"111945","17301","Projekt 1983","01.01.1983","31.12.1983","1983","1983"
"111946","17302","Vorprojekt 1985","01.01.1985","31.12.1985","1985","1985"
"111947","17303","Anfrage 1969","01.01.1969","31.12.1969","1969","1969"
"111948","17304","datiert 1989","01.01.1989","31.12.1989","1989","1989"
"111949","17305","Anfrage 1967/1969","01.01.1967","31.12.1969","1967","1969"
"111950","17306","Vorprojekt 1975","01.01.1975","31.12.1975","1975","1975"
"111951","17307","Projekt 1963","01.01.1963","31.12.1963","1963","1963"
